ctrl.1	ctrl.2	ctrl.3	kout.1	kout.2	kout.3
28.7171518141085	28.3308251283282	28.4669994841955	28.4801593198727	28.7790957721338	28.4281427662596
27.2028448285001	25.9104277227341	25.6865896481778	25.1893335378956	24.5246234909941	24.8187038697861
NA	25.5890370871168	25.2993939005483	NA	NA	24.6634577765262
29.25658163258	28.9634764964516	28.8789717352164	29.4538558431675	29.7930277356857	29.4702619198568
24.5564882798243	NA	NA	NA	24.5463961796564	NA
31.6090680026093	31.8461779371676	31.8440837141266	32.1020883093982	31.9494556896952	31.9400672234348
30.5934357195971	30.4008033629918	30.619556546419	30.6122797123963	30.8136766219757	30.5882615666127
31.944856344044	31.9980614425829	32.3028823881919	32.2493203348457	32.3172422643272	32.4223442515211
28.3500537064701	28.9273074594934	28.7303967474153	29.1327123013772	29.44041314108	29.1420207529138
28.2852006234719	28.0324936703811	28.2140083743306	27.9630630180515	28.0927004523085	27.8996593213694
27.1365308998667	27.419890760465	27.7544261581981	27.4643530506835	27.307563686801	26.978256061548
27.6184892377638	27.5000567661086	27.5869203979367	26.9568188908857	27.476069411158	26.93752989517
25.0420153382334	24.9082987900013	24.7911903185565	25.1034559038427	24.9110452120013	24.8567135075574
23.6844241816164	24.2387056115291	NA	23.3887688436878	NA	NA
22.9143887821039	23.1050958074467	22.7532787843588	23.1592326418786	23.6300093255	23.823570938166
26.388194041879	26.4919472633123	26.5112314663402	27.046352016574	26.4256321038134	26.8394206411701
31.780582643019	31.7151398122854	31.7427023921364	31.9685663435915	32.0003804292055	32.1542729236369
27.4143361985818	27.5739813422292	28.4416601797951	27.6227537429645	27.5154035240396	26.2547404523777
33.4196597468576	33.0909669171772	33.4295451151867	32.9829644637878	33.0397826303297	32.8575309115651
31.1240463328422	30.7112058575691	30.9139204867537	30.5615626031981	31.2751984642832	31.1575592119968
25.373782241733	25.7999343269423	25.8416296078128	24.7131905671948	25.1285296345342	24.683139406727
27.6151948519319	27.4503397320355	26.9832669373104	26.920139653589	26.940893344877	26.9855487375118
25.6972359102409	24.5197135089429	25.0725925605452	22.9035075169717	25.7554707494028	24.7814177486846
24.4343446928386	24.5468082857287	25.2284297279657	24.5353432557881	24.3108429546273	24.5619740408065
29.1775727898569	29.0204097986213	29.5671960082987	28.3966451500996	28.9537976550059	28.3945206554325
27.9431872005433	27.1808242692608	26.6449894541923	24.8957823472711	25.0491805050472	25.4612646017837
26.6156859821633	26.6106263548175	26.2400350243129	27.0156328341126	26.9488224082931	26.8403814770637
30.5214069450964	29.3039330601635	29.7585459880668	29.9892895921968	30.1759324044447	29.4924554449022
22.9974338016769	23.0028850460474	22.83568652787	23.5485143293628	24.2451046726047	23.5773854913586
29.5039845862612	29.2310284648569	29.3149488669529	28.8632220820316	29.1483386742912	29.109835037106
25.9697852395393	26.5754247590989	25.9637575940896	26.7596415671911	26.9341585857042	27.2862146654096
27.8847755964222	27.8833195346114	28.2155366285895	28.2764858120566	28.3379436687735	28.1258329523162
NA	NA	NA	NA	24.7603016884751	24.7176944104604
